Transaction ID,Approved Transactions,Arrival Time,Exit Probability,Agent ID,Cumulative Weight Multi-Agent,Exit Probability Multi-Agent,Confirmation Confidence Multi-Agent
43,[41],51.26233465055556,0,1,"{0: 154, 1: 154, 2: 154, 3: 154}","{0: 0.1342879384195346, 1: 0.1342879384195346, 2: 0.1342879384195346, 3: 0.1342879384195346}",{}
44,"[39, 41]",51.551433850698814,0,0,"{0: 157, 1: 157, 2: 157, 3: 157}","{0: 0.7842623096994157, 1: 0.7842623096994157, 2: 0.7842623096994157, 3: 0.7842623096994157}",{}
45,[44],53.755572379674135,0,0,"{1: 156, 0: 156, 2: 156, 3: 156}","{0: 0.7842623096994157, 1: 0.7842623096994157, 2: 0.7842623096994157, 3: 0.7842623096994157}",{}
46,"[42, 45]",57.023095774916406,0,1,"{2: 152, 0: 152, 1: 152, 3: 152}","{0: 0.6602401730264416, 1: 0.6602401730264416, 2: 0.6043779206014317, 3: 0.6602401730264416}",{}
47,"[43, 45]",58.12189931376572,0,2,"{2: 150, 1: 149, 0: 149, 3: 149}","{0: 0.21354982816678175, 1: 0.21354982816678175, 2: 0.2912271941292463, 3: 0.21354982816678175}",{}
48,[45],58.68321858515522,0,0,"{3: 146, 0: 146, 1: 146, 2: 146}","{0: 0.02881627826823038, 1: 0.02881627826823038, 2: 0.026035060487563547, 3: 0.02881627826823038}",{}
49,"[45, 43]",58.852530843290175,0,3,"{3: 147, 0: 147, 1: 147, 2: 147}","{0: 0.07856059144825321, 1: 0.07856059144825321, 2: 0.06498157046563659, 3: 0.07856059144825321}",{}
50,"[46, 47]",59.292039875884086,0,2,"{3: 1, 0: 1, 2: 1, 1: 1}","{0: 1.3780083690270058e-32, 1: 1.3780083690270058e-32, 2: 1.4509219022972806e-32, 3: 1.3780083690270058e-32}",{}
51,"[46, 43]",59.862464661347104,0,1,"{3: 146, 0: 146, 1: 146, 2: 146}","{0: 0.196399059669596, 1: 0.196399059669596, 2: 0.1759205113273131, 3: 0.196399059669596}",{}
52,"[46, 47]",60.55695339137215,0,1,"{0: 148, 1: 148, 2: 148, 3: 148}","{0: 0.6962240706139207, 1: 0.6962240706139207, 2: 0.7330628577194869, 3: 0.6962240706139207}",{}
